Name,Nickname,Letters,Twitter,For Reference:,"αάΑΆβϐΒγΓδΔεέϵ϶ΕΈζΖηήΗΉθϑΘϴιίϊΐΙΪΊκΚλΛμΜνΝξΞοόΟΌπϖΠρΡσςϲͻͼͽΣϹϽϾϿτΤυϋύΰϒΥΫΎφϕΦχΧψΨωώΩΏ""",,,,
Alpha Kappa Lambda,AKL,ΑΚΛ,@AKLBetaPsiMSU,,,,,,
Date,Time Start,Time End,Location,Location (Address),Description,Meet Time ,Meet Location,Meet Location (Address),Source
08 29,18:00,20:00,Alpha Kappa Lambda House,1043 East Cherry Street,Meet and Greet,,,,Campus Link
08 30,17:30,19:30,Taco Bell Fields,1140 E Harrison St,Sports Night (Football Soccer Basketball),,,,Campus Link
09 05,21:00,23:00,Downstream Casino,69300 East Nee Road Quapaw; OK 74363,Casino Night,,,,Campus Link
09 06,18:00,20:00,Jose Locus, 853 N Glenstone Ave,Taco Tuesday,,,,Campus Link
09 07,19:00,21:00,Alpha Kappa Lambda House,1043 East Cherry Street,Video Game Night (Madden; FIFA; and 2K Tournament),,,,Campus Link
,,,,,,,,,
,,,,,,,,,
08 31,18:00,20:00,,,Bowling Night,,,,Campus Link
