Name,Nickname,Letters,Twitter,For Reference:,"αάΑΆβϐΒγΓδΔεέϵ϶ΕΈζΖηήΗΉθϑΘϴιίϊΐΙΪΊκΚλΛμΜνΝξΞοόΟΌπϖΠρΡσςϲͻͼͽΣϹϽϾϿτΤυϋύΰϒΥΫΎφϕΦχΧψΨωώΩΏ""",,,,
Kappa Sigma,Kappa Sig,ΚΣ,@KappaSigmaMuRho,,,,,,
Date,Time Start,Time End,Location,Location (Address),Description,Meet Time,Meet Location,Meet Location (Address),Source
08 29,18:00,20:00,KS House,800 S National Ave,BBQ ,,,,Kappa Sigma Card
08 30,18:00,20:00,The Roost,2025 W Sunshine St,Taco Tuesday ($.50 Tacos),,,,Kappa Sigma Card
08 31,18:00,20:00,KS House,800 S National Ave,Dodgeball,,,,Kappa Sigma Card
09 01,17:00,19:00,Taco Bell Fields,1140 E Harrison St,Football/Soccer,,,,Kappa Sigma Card
09 02,17:00,19:00,Hammons Student Center,731 Bear Blvd,Basketball,,,,Kappa Sigma Card
09 05,18:00,20:00,KS House,800 S National Ave,Open House,,,,Kappa Sigma Card
09 06,16:30,18:00,Taco Bell Fields,1140 E Harrison St,Slip 'n Slide,,,,Kappa Sigma Card
09 07,17:00,19:00,Fun Acre,2500 S Campbell,Putt Putt,,,,Kappa Sigma Card
09 08,18:00,20:00,KS House,800 S National Ave,BBQ,,,,Kappa Sigma Card
09 09,18:00,20:00,KS House,800 S National Ave,Open House,,,,Kappa Sigma Card
