Name,Nickname,Letters,Twitter,For Reference:,"αάΑΆβϐΒγΓδΔεέϵ϶ΕΈζΖηήΗΉθϑΘϴιίϊΐΙΪΊκΚλΛμΜνΝξΞοόΟΌπϖΠρΡσςϲͻͼͽΣϹϽϾϿτΤυϋύΰϒΥΫΎφϕΦχΧψΨωώΩΏ""",,,,
Phi Gamma Delta,FIJI,ΦΓΔ,@MoState_FIJI,,,,,,
Date,Time Start,Time End,Location,Location (Address),Description,Meet Time,Meet Location,Meet Location (Address),Source
08 29,17:00,??,FIJI House,949 E Elm St,BBQ,,,,image:FIJI Card
08 30,17:00,??,FIJI House,949 E Elm St,Bowling (Meet at 5pm),,,,image:FIJI Card
08 31,17:00,??,FIJI House,949 E Elm St,Noodle Hockey (Meet at 5pm),,,,image:FIJI Card
09 05,16:00,??,FIJI House,949 E Elm St,BBQ,,,,image:FIJI Card
09 06,,,,,Convoy of Hope,17:15,FIJI House,949 E Elm St,image:FIJI Card
09 07,16:00,??,Taco Bell Fields,1140 E Harrison St,Field Day with Sig Ep,,,,image:FIJI Card
09 08,17:00,??,FIJI House,949 E Elm St,Dinner at Ebbett's (Meet at 5pm),,,,image:FIJI Card
09 09,17:00,??,FIJI House,949 E Elm St,Invite Only Dinner,,,,image:FIJI Card
