Name,Nickname,Letters,Twitter,For Reference:,,"αάΑΆβϐΒγΓδΔεέϵ϶ΕΈζΖηήΗΉθϑΘϴιίϊΐΙΪΊκΚλΛμΜνΝξΞοόΟΌπϖΠρΡσςϲͻͼͽΣϹϽϾϿτΤυϋύΰϒΥΫΎφϕΦχΧψΨωώΩΏ""",,,
Sigma Pi,,ΣΠ,SigmaPiMSU,,,,,,
Date,Time Start,Time End,Location,Location (Address),Description,Meet Time ,Meet Location ,Meet Location (Address),Source
08 29,18:00,,Sigma Pi House,1000 E Elm Street,BBQ,,,,https://www.facebook.com/MSUSigmaPi
08 30,17:00,,Sigma Pi House,1000 E Elm Street,Community Service,,,,https://www.facebook.com/MSUSigmaPi
08 31,21:00,,Sigma Pi House,1000 E Elm Street,Broomball,,,,https://www.facebook.com/MSUSigmaPi
09 02,17:00,,Sigma Pi House,1000 E Elm Street ,Dodgeball,,,,https://www.facebook.com/MSUSigmaPi
09 03,17:00,,Sigma Pi House,1000 E Elm Street,Field Day,,,,https://www.facebook.com/MSUSigmaPi
09 04,19:00,,Sigma Pi House,1000 E Elm Street,Info/Wing Night,,,,https://www.facebook.com/MSUSigmaPi
09 06,17:00,,Sigma Pi House,1000 E Elm Street,Yard Games,,,,https://www.facebook.com/MSUSigmaPi
09 07,20:00,,Sigma Pi House,1000 E Elm Street,Bonfire,,,,https://www.facebook.com/MSUSigmaPi
