Name,Nickname,Letters,Twitter,For Reference:,,"αάΑΆβϐΒγΓδΔεέϵ϶ΕΈζΖηήΗΉθϑΘϴιίϊΐΙΪΊκΚλΛμΜνΝξΞοόΟΌπϖΠρΡσςϲͻͼͽΣϹϽϾϿτΤυϋύΰϒΥΫΎφϕΦχΧψΨωώΩΏ""",,,
Sigma Nu,Sig Nu,ΣΝ,@MSUSimgaNu,,,,,,
Date,Time Start,Time End,Location,Location (Address),Description,Meet Time,Meet Location,Meet Location (Address),Source
08 28,23:59,,Sig Nu House,1116 E Elm,BBQ Kickoff (Meet at 11:30pm),23:30,Sig Nu House,1116 E Elm,Sigma Nu Card
08 29,18:00,,Taco Bell Field,1140 E Harrison St,Become a World Record Holder (Meet at 5:30pm),17:30,Sig Nu House,1116 E Elm,Sigma Nu Card
08 30,18:00,,Hammons Student Center,731 Bear Blvd,Dodgeball (Meet at 5:30pm),17:30,Sig Nu House,1116 E Elm,Sigma Nu Card
08 31,21:00,,Mediacom Ice Rink,635 E Trafficway,Broomball (Meet at 8:30pm),20:30,Sig Nu House,1116 E Elm,Sigma Nu Card
09 01,16:00,,BearFest Village,887 S Kings,Football Home Opener (Meet at 3:30pm),15:30,Sig Nu House,1116 E Elm,Sigma Nu Card
09 02,10:00,,Branson,Missouri,Lake Day (Meet at 9:30am),09:30,Sig Nu House,1116 E Elm,Sigma Nu Card
09 05,18:00,,PSU,1132 E Madison,Bowling Night (Meet at 5:30pm),17:30,Sig Nu House,1116 E Elm,Sigma Nu Card
09 06,18:00,,Sig Nu House,1116 E Elm,Street Cleanup (Meet at 5:30pm),17:30,Sig Nu House,1116 E Elm,Sigma Nu Card
09 08,18:00,,Sig Nu House,1116 E Elm,National Signing Day (Meet at 5:30pm),17:30,Sig Nu House,1116 E Elm,Sigma Nu Card
