Name,Nickname,Letters,Twitter,For Reference:,"αάΑΆβϐΒγΓδΔεέϵ϶ΕΈζΖηήΗΉθϑΘϴιίϊΐΙΪΊκΚλΛμΜνΝξΞοόΟΌπϖΠρΡσςϲͻͼͽΣϹϽϾϿτΤυϋύΰϒΥΫΎφϕΦχΧψΨωώΩΏ""",,,,
Tau Kappa Epsilon,Teke,TKE,MO_State_TKE,,,,,,
Date,Time Start,Time End,Location,Location( Address),Description,Meet Time ,Meet Location ,Meet Location (Address),Source
08 29,16:00,18:00,TKE House,1315 E Elm Street,Hooters Girls/House Tour,,,,Tau Kappa Epsilon Card
08 31,16:00,18:00,PSU Level One Game Center,1132 E Madison,Games,,,,Tau Kappa Epsilon Card
09 05,14:00,,TKE House,1315 E Elm Street,Poker Tournement,,,,Tau Kappa Epsilon Card
09 06,19:00,21:00,Aspen Heights,307 S National Ave,Pool/ Sand Vollyball,,,,Tau Kappa Epsilon Card
,,,,,,,,,
,,,,,,,,,
09 08,,,? TBA,1315 E Elm Street,BBQ/House Tour,,,,
