Name,Nickname,Letters,Twitter,For Reference:,"αάΑΆβϐΒγΓδΔεέϵ϶ΕΈζΖηήΗΉθϑΘϴιίϊΐΙΪΊκΚλΛμΜνΝξΞοόΟΌπϖΠρΡσςϲͻͼͽΣϹϽϾϿτΤυϋύΰϒΥΫΎφϕΦχΧψΨωώΩΏ""",,,,
Theta Chi,Theta Chi,ΘΧ,ThetaChiMSU,,,,,,
Date,Time Start,Time End,Location,Location (Address),Description,Meet Time ,Meet Location ,Meet Location (Address),Source
08 28,23:59,?,,,Midnight Madness,23:45,Theta Chi House,1146 E Cherry St.,image:Theta Chi Card
08 29,20:00,?,,,Broomball,19:45,Theta Chi House,1146 E Cherry St.,image:Theta Chi Card
08 30,18:00,?,,1146 E Cherry St.,Caddyshack,17:45,Theta Chi House,1146 E Cherry St.,image:Theta Chi Card
08 31,19:00,?,,1146 E Cherry St.,Iron Chef,18:45,Theta Chi House,1146 E Cherry St.,image:Theta Chi Card
09 01,17:00,?,,,Football Game,16:45,Theta Chi House,1146 E Cherry St.,image:Theta Chi Card
09 02,20:00,?,Downstream,69300 East Nee Road Quapaw; OK 74363,Downstream Casino,19:45,Theta Chi House,1146 E Cherry St.,image:Theta Chi Card
09 03,14:00,?,,,3-On-3 Tournament,13:45,Theta Chi House,1146 E Cherry St.,image:Theta Chi Card
09 04,10:00,21:00,,1146 E Cherry St.,Open House,,Theta Chi House,1146 E Cherry St.,image:Theta Chi Card
09 05,17:00,?,,,Labor Day BBQ,16:45,Theta Chi House,1146 E Cherry St.,image:Theta Chi Card
09 06,20:00,?,,1146 E Cherry St.,Video Game Tournament ,19:45,Theta Chi House,1146 E Cherry St.,image:Theta Chi Card
09 07,14:30,?,,,Culture Club,14:15,Theta Chi House,1146 E Cherry St.,image:Theta Chi Card
